"title","author","year_pub","provider","country","crop","uri","curi","nuri"
"Scaling-up sustainable cropping practices: \'Zia\' and \'Micro-dosing\'","International Institute of Tropical Agriculture (International Institue of Tropical Agriculture (IITA)); Savanna Agricultural Research Institute (SARI)","2015","IFPRI","GHA",NA,"https://doi.org/10.7910/DVN/J6BHT8","doi_10.7910_DVN_J6BHT8",NA
"N2Africa agronomy trials harvest - UGA, 2016, I","Vanlauwe, Bernard","2020","IITA","UGA","Groundnut, Soybean, Common beans","https://doi.org/10.25502/2788-9j45","doi_10.25502_2788-9j45",NA
"N2Africa agronomy trials harvest - UGA, 2016, II","Vanlauwe, Bernard","2020","International Institue of Tropical Agriculture (IITA)","UGA","Groundnut, Soybean, Common beans","https://doi.org/10.25502/9kj5-mb56","doi_10.25502_9kj5-mb56",NA
"N2Africa Baseline Survey - Ethiopia, 2014","Vanlauwe, B., et.al","2020","IITA","Ethiopia","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/a1qc-3b87/d","doi_10.25502_a1qc-3b87_d",NA
"N2Africa Baseline Survey - Southern Tanzania, 2014","Vanlauwe, B., et.al","2020","IITA","Tanzania","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/q560-ha69/d","doi_10.25502_q560-ha69_d",NA
"N2Africa Baseline Survey - Tanzania, 2013","Vanlauwe, B., et.al","2020","IITA","Tanzania","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/6w1q-xj07/d","doi_10.25502_6w1q-xj07_d",NA
"N2Africa Baseline Survey - Togo, 2012","Vanlauwe, B., et.al","2020","IITA","Togo","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/wcbr-ck09/d","doi_10.25502_wcbr-ck09_d",NA
"N2Africa Baseline Survey - Uganda, 2014","Vanlauwe, B., et.al","2020","IITA","Uganda","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/rmse-1711/d","doi_10.25502_rmse-1711_d",NA
"N2Africa Baseline Survey 1 - Liberia, 2012","Vanlauwe, B., et.al","2020","IITA","Liberia","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/ckxj-2t51/d","doi_10.25502_ckxj-2t51_d",NA
"N2Africa Baseline Survey 2 - Liberia, 2012","Vanlauwe, B., et.al","2020","IITA","Liberia","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/4nq1-kv83/d","doi_10.25502_4nq1-kv83_d",NA
"N2Africa Baseline Survey, 2010 - 2011","Vanlauwe, B., et.al","2020","IITA","Democratic Republic of Congo, Ghana, Kenya, Nigeria, Mozambique, Malawi, Rwanda, Zumbabwe","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/6txr-k273/d","doi_10.25502_6txr-k273_d",NA
"N2Africa demo - Northern Uganda, 2014, Season II","Vanlauwe, B., et.al","2020","IITA","Uganda","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/4ymd-n614","doi_10.25502_4ymd-n614",NA
"N2Africa demonstration trial","Vanlauwe, B., et.al","2020","IITA","Nigeria, Ghana, Mozambique, Kenya, Malawi, Uganda, Tanzania, Ethiopia","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/vhf4-rn77","doi_10.25502_vhf4-rn77",NA
"N2Africa diagnostic trial - Eastern Uganda, 2014, Season II","Vanlauwe, B., et.al","2020","IITA","Uganda","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/tnn1-sp31","doi_10.25502_tnn1-sp31",NA
"N2Africa diagnostic trial - Northern Tanzania, 2014, Season II","Vanlauwe, B., et.al","2020","IITA","Tanzania","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/f46k-yh57","doi_10.25502_f46k-yh57",NA
"N2Africa farm monitoring - Ethiopia, 2013","Vanlauwe, B., et.al","2020","IITA","Ethiopia","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/m5h6-cj32/d","doi_10.25502_m5h6-cj32_d",NA
"N2Africa farm monitoring - Ghana, 2011","Vanlauwe, B., et.al","2020","IITA","Ghana","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/mbkp-rq56/d","doi_10.25502_mbkp-rq56_d",NA
"N2Africa farm monitoring - Ghana, 2012","Vanlauwe, B., et.al","2020","IITA","Ghana","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/hqss-2192/d","doi_10.25502_hqss-2192_d",NA
"N2Africa farm monitoring - Kenya, 2012","Vanlauwe, B., et.al","2020","IITA","Kenya","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/t3qs-re90/d","doi_10.25502_t3qs-re90_d",NA
"N2Africa farm monitoring - Liberia, 2013","Vanlauwe, B., et.al","2020","IITA","Liberia","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/gpjj-8d54/d","doi_10.25502_gpjj-8d54_d",NA
"N2Africa farm monitoring - Nigeria, 2011","Vanlauwe, B., et.al","2020","IITA","Nigeria","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/33jc-bx81","doi_10.25502_33jc-bx81",NA
"N2Africa farm monitoring - Nigeria, 2012","Vanlauwe, B., et.al","2020","IITA","Nigeria","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/1zxn-yy75","doi_10.25502_1zxn-yy75",NA
"N2Africa farm monitoring - Rwanda, 2011","Vanlauwe, B., et.al","2020","IITA","Rwanda","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/1tnr-jv20","doi_10.25502_1tnr-jv20",NA
"N2Africa farm monitoring - Rwanda, 2012, I","Vanlauwe, B., et.al","2020","IITA","Rwanda","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/jn3v-pr28","doi_10.25502_jn3v-pr28",NA
"N2Africa farm monitoring - Rwanda, 2012, II","Vanlauwe, B., et.al","2020","IITA","Rwanda","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/0msx-r973","doi_10.25502_0msx-r973",NA
"N2Africa farm monitoring - Tanzania, 2013","Vanlauwe, B., et.al","2020","IITA","Tanzania","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/0hmc-dp39","doi_10.25502_0hmc-dp39",NA
"N2Africa farm monitoring - Uganda, 2013, I","Vanlauwe, B., et.al","2020","IITA","Uganda","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/f4b0-n537","doi_10.25502_f4b0-n537",NA
"N2Africa farm monitoring - Uganda, 2013, II","Vanlauwe, B., et.al","2020","IITA","Uganda","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/727k-5319","doi_10.25502_727k-5319",NA
"N2Africa farm monitoring - Uganda, 2013, Season II Groundnut","Vanlauwe, B., et.al","2020","IITA","Uganda","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/zzzd-d180","doi_10.25502_zzzd-d180",NA
"N2Africa farm monitoring - Uganda, 2013, Season II Soybean","Vanlauwe, B., et.al","2020","IITA","Uganda","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/k3v2-zr87","doi_10.25502_k3v2-zr87",NA
"N2Africa farm monitoring - Zimbabwe, 2012 - 2013","Vanlauwe, B., et.al","2020","IITA","Zimbabwe","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/dqaw-f631","doi_10.25502_dqaw-f631",NA
"N2Africa focal adapt trial - Uganda, 2015, season I climbing bean","Vanlauwe, B., et.al","2020","IITA","Uganda","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/s5zv-p584","doi_10.25502_s5zv-p584",NA
"N2Africa focal adapt trial, 2015, I","Vanlauwe, B., et.al","2020","IITA","Ghana, Uganda, Nigeria, Ethiopia, Tanzania","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/6rjh-ae22","doi_10.25502_6rjh-ae22",NA
"N2Africa focal adapt trial, 2015, II","Vanlauwe, B., et.al","2020","IITA","Tanzania, Uganda, Ethiopia, Ghana, Nigeria","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/ejjm-hq60","doi_10.25502_ejjm-hq60",NA
"N2Africa household student characterization - Kapchorwa, Uganda, 2014","Vanlauwe, B., et.al","2020","IITA","Uganda","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/c2yw-2m70","doi_10.25502_c2yw-2m70",NA
"Africa Soil Information System - Phase 1, Nkhata Bay S1","Huising, Jeroen","2018","IITA","MWI","","https://doi.org/10.25502/20180814/1341/HJ","doi_10.25502_20180814_1341_HJ",NA
"Africa Soil Information System - Phase 1, Pampaida","Huising, Jeroen","2018","International Institue of Tropical Agriculture (IITA)","NGA",NA,"https://doi.org/10.25502/20180814/1415/HJ","doi_10.25502_20180814_1415_HJ",NA
"International Late Yellow Hybrid Trial - ILYH0608","Global Maize Program","2019","CIMMYT","MEX, Bolivia, GHA, IND, NGA, Viet Nam, Sudan","Maize","https://hdl.handle.net/11529/10560","hdl_11529_10560",NA
"Monitoring and evaluation the longer term effects of conservation agriculture practices on soil quality, soil water dynamics, weeds, pests/diseases and crop yield in Eastern Zambia","Thierfelder, Christian","2016","CIMMYT","ZMB","maize, cowpea, soybean","https://hdl.handle.net/11529/10844","hdl_11529_10844",NA
"Promoting Sustainable Intensification Through Efficient Application of Different Sources of Phosphorus (Minjingu Granular, Minjingu Mazao, DAP and TSP) (CIAT)","International Center for Tropical Agriculture (CIAT); Selian Agricultural Research Institute (SARI)","2017","IFPRI","TZA","","https://doi.org/10.7910/DVN/G2CSNP","doi_10.7910_DVN_G2CSNP",NA
"N2Africa impact survey - Ghana, 2013","Vanlauwe, B., et.al","2020","IITA","Ghana","common bean, soybean, groundnut, cowpea","https://doi.org/10.25502/8pgw-td42","doi_10.25502_8pgw-td42",NA
