title,author,year_pub,provider,region,crop,uri,group
"An integrated approach for understanding the factors that facilitate or constrain the adoption of soil carbon enhancing practices in East Africa, specifically Western Kenya",Ng???ang???a??Stanley Karanja??George Magambo??Kanyenji??Jalang'o??Dorcas Anyango??Nguru??Wilson Maina??Girvetz??Evan,2019-07-08T11:23:34Z,CIAT - International Center for Tropical Agriculture Dataverse,East Africa,,doi:10.7910/DVN/HE6CEM,survey
Cassava Breeding Trials - Edaphoclimatic Zone 2: Lowland Tropics,International Center for Tropical Agriculture,,CIAT - International Center for Tropical Agriculture Dataverse,World,,doi:10.7910/DVN/FBX5DH,survey
Cassava Diseases Evaluation - Edaphoclimatic Zone 2: Lowland Tropics,International Center for Tropical Agriculture,,CIAT - International Center for Tropical Agriculture Dataverse,,,doi:10.7910/DVN/WEA83N,survey
"Digital mapping of soil properties in the West of Honduras, Central America.",Da Silva??Mayesse??Monserrate??Fredy??Valencia??Jefferson??Quintero??Marcela??Jarvis??Andy,2016-08-26T21:10:21Z,CIAT - International Center for Tropical Agriculture Dataverse,World,,doi:10.7910/DVN/QVXA7U,soil_samples
Greenhouse gas emissions from soils of a long-term trial in Western Kenya,Sommer??Rolf??Kihara??Job??Bolo??Peter??Kinyua??Michael,2018-12-19T15:10:01Z,CIAT - International Center for Tropical Agriculture Dataverse,Kenya,,doi:10.7910/DVN/SC0VKF,soil_samples
Household Survey Data on Cost Benefit Analysis of Climate-Smart Soil Practices in Western Kenya,Ng???ang???a??Stanley Karanja??Mwungu??Chris M??Mwongera??Caroline??Kinyua??Ivy??Notenbaert??An??Girvetz??Evan,2017-09-27T19:19:05Z,CIAT - International Center for Tropical Agriculture Dataverse,Kenya,,doi:10.7910/DVN/K6JQXC,survey
Long-term field experiments carried out in savannas and hillsides agroecosystems by Soil Biology (PE-2: Soils project of CIAT),International Center for Tropical Agriculture,2016-12-13T17:08:58Z,CIAT - International Center for Tropical Agriculture Dataverse,,,doi:10.7910/DVN/NQ5GDR,survey
Long-term field experiments carried out in savannas and hillsides agroecosystems by Soil Physics (PE-2: Soils project of CIAT),International Center for Tropical Agriculture,2016-11-04T14:07:31Z,CIAT - International Center for Tropical Agriculture Dataverse,,,doi:10.7910/DVN/WR18SC,survey
Polygon map of soil units with functional properties for Mexico (1:250000),Delerce??Sylvain Jean,2018-06-06T20:01:07Z,CIAT - International Center for Tropical Agriculture Dataverse,Mexico,,doi:10.7910/DVN/QNMIZR,soil_samples
"Replication Data for: Bean experimental lines selected for tolerance to Drought, high temperatures, low P in the soil, high aluminum in the soil and high content of Fe / Zn in grain.",Raatz??Bodo??Beebe??Stephen,2020-03-26T16:04:13Z,CIAT - International Center for Tropical Agriculture Dataverse,,,doi:10.7910/DVN/CDBHQW,survey
Accelerating seed germination and seedling development of Sorghum (Sorghum bicolor L. Moench) through hydro-priming, Siaka S. Dembele,2019,Kingston University,Mali,sorghum,doi:10.5061/dryad.mq8rb80,variety_trials
Seed priming and Za? pit practice improve field performance of sorghum (Sorghum bicolor L. Moench) in the Sahelian zone of Mali, Siaka S. Dembele,2019,Kingston University,Mali,sorghum,doi:10.5061/dryad.0m91g8m,variety_trials
"Long-term tillage, residue management and crop rotation impacts on N2O and CH4 emissions on two contrasting soils in sub-humid Zimbabwe",Shumba A,2022,CIRAD,Zimbabwe,"maize, cowpea",doi:10.18167/DVN1/N7GAZF,agronomy
"Dataset on weed sampling, biomass and rice yield to determine critical period of weed interference in rainfed low-input cropping systems in the middle-west region of Madagascar",Rafenomanjato A,2024,CIRAD,Madagascar,rice,doi:10.18167/DVN1/WCVA7Z,weeds
"N2Africa agronomy trials harvest - UGA, 2016, I","Vanlauwe, Bernard",2020,IITA,UGA,legumes,doi:10.25502/2788-9j45,fertilizer
"N2Africa agronomy trials harvest - UGA, 2016, II","Vanlauwe, Bernard",2020,International Institue of Tropical Agriculture (IITA),UGA,legumes,doi:10.25502/9kj5-mb56,fertilizer
"N2Africa Baseline Survey - Ethiopia, 2014","Vanlauwe, B., et.al",2020,IITA,Ethiopia,legumes,doi:10.25502/a1qc-3b87/d,survey
"N2Africa Baseline Survey - Southern Tanzania, 2014","Vanlauwe, B., et.al",2020,IITA,Tanzania,legumes,doi:10.25502/q560-ha69/d,survey
"N2Africa Baseline Survey - Tanzania, 2013","Vanlauwe, B., et.al",2020,IITA,Tanzania,legumes,doi:10.25502/6w1q-xj07/d,survey
"N2Africa Baseline Survey - Togo, 2012","Vanlauwe, B., et.al",2020,IITA,Togo,legumes,doi:10.25502/wcbr-ck09/d,survey
"N2Africa Baseline Survey - Uganda, 2014","Vanlauwe, B., et.al",2020,IITA,Uganda,legumes,doi:10.25502/rmse-1711/d,survey
"N2Africa Baseline Survey 1 - Liberia, 2012","Vanlauwe, B., et.al",2020,IITA,Liberia,legumes,doi:10.25502/ckxj-2t51/d,survey
"N2Africa Baseline Survey 2 - Liberia, 2012","Vanlauwe, B., et.al",2020,IITA,Liberia,legumes,doi:10.25502/4nq1-kv83/d,survey
"N2Africa Baseline Survey, 2010 - 2011","Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/6txr-k273/d,survey
"N2Africa demo - Northern Uganda, 2014, Season II","Vanlauwe, B., et.al",2020,IITA,Uganda,legumes,doi:10.25502/4ymd-n614,fertilizer
N2Africa demonstration trial,"Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/vhf4-rn77,fertilizer
"N2Africa diagnostic trial - Eastern Uganda, 2014, Season II","Vanlauwe, B., et.al",2020,IITA,Uganda,legumes,doi:10.25502/tnn1-sp31,fertilizer
"N2Africa diagnostic trial - Northern Tanzania, 2014, Season II","Vanlauwe, B., et.al",2020,IITA,Tanzania,legumes,doi:10.25502/f46k-yh57,fertilizer
"N2Africa farm monitoring - Ethiopia, 2013","Vanlauwe, B., et.al",2020,IITA,Ethiopia,legumes,doi:10.25502/m5h6-cj32/d,fertilizer
"N2Africa farm monitoring - Ghana, 2011","Vanlauwe, B., et.al",2020,IITA,Ghana,legumes,doi:10.25502/mbkp-rq56/d,fertilizer
"N2Africa farm monitoring - Ghana, 2012","Vanlauwe, B., et.al",2020,IITA,Ghana,legumes,doi:10.25502/hqss-2192/d,fertilizer
"N2Africa farm monitoring - Kenya, 2012","Vanlauwe, B., et.al",2020,IITA,Kenya,legumes,doi:10.25502/t3qs-re90/d,fertilizer
"N2Africa farm monitoring - Liberia, 2013","Vanlauwe, B., et.al",2020,IITA,Liberia,legumes,doi:10.25502/gpjj-8d54/d,fertilizer
"N2Africa farm monitoring - Nigeria, 2011","Vanlauwe, B., et.al",2020,IITA,Nigeria,legumes,doi:10.25502/33jc-bx81,fertilizer
"N2Africa farm monitoring - Nigeria, 2012","Vanlauwe, B., et.al",2020,IITA,Nigeria,legumes,doi:10.25502/1zxn-yy75,fertilizer
"N2Africa farm monitoring - Rwanda, 2011","Vanlauwe, B., et.al",2020,IITA,Rwanda,legumes,doi:10.25502/1tnr-jv20,fertilizer
"N2Africa farm monitoring - Rwanda, 2012, I","Vanlauwe, B., et.al",2020,IITA,Rwanda,legumes,doi:10.25502/jn3v-pr28,fertilizer
"N2Africa farm monitoring - Rwanda, 2012, II","Vanlauwe, B., et.al",2020,IITA,Rwanda,legumes,doi:10.25502/0msx-r973,fertilizer
"N2Africa farm monitoring - Tanzania, 2013","Vanlauwe, B., et.al",2020,IITA,Tanzania,legumes,doi:10.25502/0hmc-dp39,fertilizer
"N2Africa farm monitoring - Uganda, 2013, I","Vanlauwe, B., et.al",2020,IITA,Uganda,legumes,doi:10.25502/f4b0-n537,fertilizer
"N2Africa farm monitoring - Uganda, 2013, II","Vanlauwe, B., et.al",2020,IITA,Uganda,legumes,doi:10.25502/727k-5319,fertilizer
"N2Africa farm monitoring - Uganda, 2013, Season II Groundnut","Vanlauwe, B., et.al",2020,IITA,Uganda,legumes,doi:10.25502/zzzd-d180,fertilizer
"N2Africa farm monitoring - Uganda, 2013, Season II Soybean","Vanlauwe, B., et.al",2020,IITA,Uganda,legumes,doi:10.25502/k3v2-zr87,fertilizer
"N2Africa farm monitoring - Zimbabwe, 2012 - 2013","Vanlauwe, B., et.al",2020,IITA,Zimbabwe,legumes,doi:10.25502/dqaw-f631,fertilizer
"N2Africa focal adapt trial - Uganda, 2015, season I climbing bean","Vanlauwe, B., et.al",2020,IITA,Uganda,legumes,doi:10.25502/s5zv-p584,fertilizer
"N2Africa focal adapt trial, 2015, I","Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/6rjh-ae22,fertilizer
"N2Africa focal adapt trial, 2015, II","Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/ejjm-hq60,fertilizer
"N2Africa household student characterization - Kapchorwa, Uganda, 2014","Vanlauwe, B., et.al",2020,IITA,Uganda,legumes,doi:10.25502/c2yw-2m70,survey
"Africa Soil Information System - Phase 1, Pampaida","Huising, Jeroen",2018,International Institue of Tropical Agriculture (IITA),NGA,NA,doi:10.25502/20180814/1415/HJ,soil_samples
"N2Africa impact survey - Ghana, 2013","Vanlauwe, B., et.al",2020,IITA,Ghana,legumes,doi:10.25502/8pgw-td42,survey
"N2Africa impact survey - Malawi, 2013","Vanlauwe, B., et.al",2020,IITA,Malawi,legumes,doi:10.25502/fcwa-d071,survey
"N2Africa impact survey - Mozambique, 2013","Vanlauwe, B., et.al",2020,IITA,Mozambique,legumes,doi:10.25502/r6mn-jn95,survey
"N2Africa MLE data, 2015","Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/094e-da98,survey
"N2Africa MLE data, 2015 - 2017","Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/1qq4-w409,survey
"N2Africa MLE data, 2015 - 2019","Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/135g-kc39,survey
"N2Africa MLE data, 2016","Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/9vgy-h440,survey
"N2Africa MLE data, 2016 - 2017","Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/ax1c-6856,survey
"N2Africa MLE data, 2017","Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/pgca-rz65,survey
"N2Africa MLE data, 2017 - 2018","Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/tkcg-6205,survey
"N2Africa MLE data, 2018","Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/dt06-7a71,survey
"N2Africa MLE data, 2019","Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/w98q-qw47,survey
"N2Africa par measurements - Uganda, 2017","Vanlauwe, B., et.al",2020,IITA,Uganda,legumes,doi:10.25502/dtwy-dw72,survey
Data on Nitrogen Use Efficiency in Sorghum: exploring native variability for traits under variable N-regimes,"Rajeev et al.,",2021,ICRISAT,India,Sorghum,doi:10.21421/D2/WCAHRK,agronomy
Effect of seed treatment and nutrient management on Millet and Sorghum establishment and yield in rainy season 2015,Fatondji et al,2019,ICRISAT,"Burkina Faso, Niger","Millet, Sorghum",doi:10.21421/D2/TVF4M5,agronomy
Effect of seed treatment and nutrient management on Millet and Sorghum establishment and yield in rainy season 2016,Fatondji et al,2019,ICRISAT,"Burkina Faso, Niger","Millet, Sorghum",doi:10.21421/D2/Q7LZMS,agronomy
Agronomic performance of Sorghum margaritiferum Kende in the Guinean zone of Mali-West and Central Africa, and Diallo,2019,ICRISAT,Mali,Sorghum,doi:10.21421/D2/CHAUNT,agronomy
Evaluation data of Pearl millet hybrids for grain Iron and Zinc during 2010 rainy season,Govindaraj  et al,2018,ICRISAT,India,Pearl millet,doi:10.21421/D2/PMNQEO,agronomy
Data on multi factorial treatments in Rabi sorghum for 2015-16 at Patancheru,Kholova J,2017,ICRISAT,India,Sorghum,doi:10.21421/D2/IVTYAR,agronomy
Data on multi factorial treatments in Rabi sorghum for 2012-13 at Patancheru,Kholova J,2017,ICRISAT,India,Sorghum,doi:10.21421/D2/CAVKGP,agronomy
Data on multi factorial treatments in Rabi sorghum for 2013-14 at Patancheru,Kholova J,2017,ICRISAT,India,Sorghum,doi:10.21421/D2/K3CDTX,agronomy
Data on multi factorial treatments in Rabi sorghum for 2014-15 at Patancheru,Kholova J,2017,ICRISAT,India,Sorghum,doi:10.21421/D2/S4FIRW,agronomy
Data on multi factorial treatments in Rabi sorghum for year 2011-2012 at Patancheru,Kholova J,2017,ICRISAT,India,Sorghum,doi:10.21421/D2/HVZ7PB,agronomy
"Data on multi factorial treatments in Rabi Sorghum for 2017-18 in Plant Quarantine E2, Patancheru, ICRISAT",Kholova J,2017,ICRISAT,India,Sorghum,doi:10.21421/D2/7M3MZT,agronomy
"Data on multi factorial treatments in 2017-18 Rabi Sorghum in BM8-B, Patancheru, ICRISAT",Kholova J,2020,ICRISAT,India,Sorghum,doi:10.21421/D2/LBSXTT,agronomy
Data on multi factorial treatments in 2016-17 Rabi Sorghum at Patancheru,Kholova J,2020,ICRISAT,India,Sorghum,doi:10.21421/D2/ETR2FV,agronomy
