name,sciname,altname,is_preferred,harvest,groups,fresh_moisture,max_yield,NOTE,snake_case,CamelCase,AGROVOC,CATEGORY,URI
rice,Oryza sativa,,,grain,cereals,,22500,,rice,Rice,rice,cereals,http://aims.fao.org/aos/agrovoc/c_6599
robusta coffee,,,,,coffee,,,,robusta_coffee,RobustaCoffee,robusta coffee,coffee,http://aims.fao.org/aos/agrovoc/c_6626
rocket,,,,,vegetables,,,,rocket,Rocket,rocket,vegetables,http://aims.fao.org/aos/agrovoc/c_5c9e76bc
root crop,spp,,NO,root,root_crops,,,,root_crop,RootCrop,,,
rose hips,,,,,fruits,,,,rose_hips,RoseHips,rose hips,fruits,http://aims.fao.org/aos/agrovoc/c_50142
roselle,,,,,vegetables,,,,roselle,Roselle,roselle,vegetables,http://aims.fao.org/aos/agrovoc/c_a8b0f9a7
rosemary,,,,,culinary_herbs,,,,rosemary,Rosemary,rosemary,culinary_herbs,http://aims.fao.org/aos/agrovoc/c_13963
rubber,,,,,industrial_crops,,,,rubber_crops,RubberCrops,rubber crops,industrial_crops,http://aims.fao.org/aos/agrovoc/c_6679
rutabaga,,,,,vegetables,,,,rutabagas,Rutabagas,rutabagas,vegetables,http://aims.fao.org/aos/agrovoc/c_6713
rye,,,,grain,cereals,,,,rye,Rye,rye,cereals,http://aims.fao.org/aos/agrovoc/c_14010
safflower,,,,,oil_seeds,,,,safflower_seed,SafflowerSeed,safflower seed,oil_seeds,http://aims.fao.org/aos/agrovoc/c_25503
saffron,,,,,spices,,,,saffron,Saffron,saffron,spices,http://aims.fao.org/aos/agrovoc/c_14023
safou,,,,,fruits,,,,safou,Safou,safou,fruits,http://aims.fao.org/aos/agrovoc/c_34775
sage,,,,,culinary_herbs,,,,sage,Sage,sage,culinary_herbs,http://aims.fao.org/aos/agrovoc/c_14025
salsify,,,,,vegetables,,,,salsify,Salsify,salsify,vegetables,http://aims.fao.org/aos/agrovoc/c_14055
satsumas,,,,,fruits,,,,satsumas,Satsumas,satsumas,fruits,http://aims.fao.org/aos/agrovoc/c_6819
seakale,,,,,vegetables,,,,seakale,Seakale,seakale,vegetables,http://aims.fao.org/aos/agrovoc/c_87057e4f
sesame,Sesamum indicum,,,seed,oil_seeds,,,,sesame_seed,SesameSeed,sesame seed,oil_seeds,http://aims.fao.org/aos/agrovoc/c_14216
sesbania,Sesbania spp,,,none,green_manures,,125000,,sesbania,Sesbania,sesbania,green_manures,http://aims.fao.org/aos/agrovoc/c_6993
shallots,,,,,vegetables,,,,shallots,Shallots,shallots,vegetables,http://aims.fao.org/aos/agrovoc/c_14233
shea nut,,,,,nuts,,,,shea_nuts,SheaNuts,shea nuts,nuts,http://aims.fao.org/aos/agrovoc/c_25505
sisal,,,,,plant_fibres,,,,sisal,Sisal,sisal,plant_fibres,http://aims.fao.org/aos/agrovoc/c_7086
sorghum,Sorghum bicolor,,,grain,cereals,,18000,,sorghum_grain,SorghumGrain,sorghum grain,cereals,http://aims.fao.org/aos/agrovoc/c_7249
sour cherry,,,,,fruits,,,,sour_cherries,SourCherries,sour cherries,fruits,http://aims.fao.org/aos/agrovoc/c_9767
soybean,Glycine max,,,seed,pulses,,15000,,soybeans,Soybeans,soybeans,pulses,http://aims.fao.org/aos/agrovoc/c_14477
spinach,,,,,vegetables,,,,spinach,Spinach,spinach,vegetables,http://aims.fao.org/aos/agrovoc/c_14508
squash,,,,,vegetables,,,,squashes,Squashes,squashes,vegetables,http://aims.fao.org/aos/agrovoc/c_37735
strawberry,,,,,fruits,,,,strawberries,Strawberries,strawberries,fruits,http://aims.fao.org/aos/agrovoc/c_7443
sugar beet,Beta vulgaris,,,root,sugar_crops,,,,sugar_beet,SugarBeet,sugar beet,sugar_crops,http://aims.fao.org/aos/agrovoc/c_7499
sugarcane,Saccharum officinarum,,,stems,sugar_crops,,300000,,sugar_cane,SugarCane,sugar cane,sugar_crops,http://aims.fao.org/aos/agrovoc/c_7501
sumac,,,,,spices,,,,sumac,Sumac,sumac,spices,http://aims.fao.org/aos/agrovoc/c_aa51cda6
sunflower,Helianthus annuus,,,anuum,oil_crops,,80000,,sunflowers,Sunflowers,sunflowers,oil_crops,http://aims.fao.org/aos/agrovoc/c_aad037e4
sunn hemp,Crotalaria juncea,,,green manure,fibre_crops,,,,sunn_hemp,SunnHemp,sunn hemp,fibre_crops,http://aims.fao.org/aos/agrovoc/c_7520
sweetpotato,Ipomoea batatas,,,root,vegetables,,100000,,sweet_potatoes,SweetPotatoes,sweet potatoes,vegetables,http://aims.fao.org/aos/agrovoc/c_14729
taioba,,,,,vegetables,,,,taioba,Taioba,taioba,vegetables,http://aims.fao.org/aos/agrovoc/c_331477
tangelo,,,,,fruits,,,,tangelos,Tangelos,tangelos,fruits,http://aims.fao.org/aos/agrovoc/c_7600
tangerine,,,,,fruits,,,,tangerines,Tangerines,tangerines,fruits,http://aims.fao.org/aos/agrovoc/c_7601
tangor,,,,,fruits,,,,tangors,Tangors,tangors,fruits,http://aims.fao.org/aos/agrovoc/c_7602
taro,,,,,root_crops,,,,taro,Taro,taro,root_crops,http://aims.fao.org/aos/agrovoc/c_14791
tea,,,,leaves,beverage_crops,,,,tea,Tea,tea,beverage_crops,http://aims.fao.org/aos/agrovoc/c_7634
teff,Eragrostis tef,,,seed,cereals,,10000,,teff,Teff,teff,cereals,http://aims.fao.org/aos/agrovoc/c_b2ba9c4c
thyme,,,,,culinary_herbs,,,,thyme,Thyme,thyme,culinary_herbs,http://aims.fao.org/aos/agrovoc/c_14877
tobacco,Nicotiana tabacum,,,leaves; seed,stimulants,,10000,,tobacco,Tobacco,tobacco,stimulants,http://aims.fao.org/aos/agrovoc/c_7796
tomato,Solanum lycopersicum,,,fruit,vegetables,,100000,,tomatoes,Tomatoes,tomatoes,vegetables,http://aims.fao.org/aos/agrovoc/c_7805
triticale,×Triticosecale,,,,cereals,,12000,,triticales,Triticales,triticales,cereals,http://aims.fao.org/aos/agrovoc/c_7949
tung tree,,,,,oil_crops,,,,tung_tree,TungTree,tung tree,oil_crops,http://aims.fao.org/aos/agrovoc/c_253
turnip,,,,,root_crops,,,,turnips,Turnips,turnips,root_crops,http://aims.fao.org/aos/agrovoc/c_8019
urd bean,,,,,pulses,,,,urd_beans,UrdBeans,urd beans,pulses,http://aims.fao.org/aos/agrovoc/c_8089
vanilla,,,,,spices,,,,vanilla,Vanilla,vanilla,spices,http://aims.fao.org/aos/agrovoc/c_15126
vegetables,spp,,NO,leaves,vegetables,,,,vegetables,Vegetables,,,
velvet bean,Mucuna pruriens,,,green manure,legumes,,,,velvet_bean,VelvetBean,velvet bean,legumes,http://aims.fao.org/aos/agrovoc/c_4971
vetch,Vicia spp,,,forage,vegetables,,,,vetches,Vetches,vetches,vegetables,http://aims.fao.org/aos/agrovoc/c_8214
walnut,,,,,nuts,,,,walnuts,Walnuts,walnuts,nuts,http://aims.fao.org/aos/agrovoc/c_15254
watercress,,,,,vegetables,,,,watercress,Watercress,watercress,vegetables,http://aims.fao.org/aos/agrovoc/c_15275
watermelons,,,,,fruits,,,,watermelons,Watermelons,watermelons,fruits,http://aims.fao.org/aos/agrovoc/c_15277
wheat,Triticum aestivum,,,seed,cereals,,18000,,wheat,Wheat,wheat,cereals,http://aims.fao.org/aos/agrovoc/c_8373
white clover,Trifolium repens,,,green manure,green_manures,,,,white_clover,WhiteClover,,,
white currant,,,,,fruits,,,,white_currants,WhiteCurrants,white currants,fruits,http://aims.fao.org/aos/agrovoc/c_8379
white lupin,Lupinus albus,,,seed,vegetables,,,,white_lupin,WhiteLupin,,,
winter melon,,,,,fruits,,,,winter_melons,WinterMelons,winter melons,fruits,http://aims.fao.org/aos/agrovoc/c_acf09bff
yam,Dioscorea cayenensis,,,tuber,vegetables,,60000,,yams,Yams,yams,vegetables,http://aims.fao.org/aos/agrovoc/c_8478
yautia,,,,,vegetables,,,,yautia,Yautia,yautia,vegetables,http://aims.fao.org/aos/agrovoc/c_8460
