name,description
weather-related,
cold,
drought,
excess water,
hail,
heat,
shadow,
snow,
wind,
soil acidity,
soil salinity,
soil toxicity,
nutrient deficiency,
boron deficiency,
cadmium deficiency,
calcium deficiency,
iron deficiency,
magnesium deficiency,
manganese deficiency,
nitrogen deficiency,
phosphorus deficiency,
potassium deficiency,
sulfur deficiency,
zinc deficiency,
aluminium toxicity,
