check,msg,group,dataset_id,contributor
NA terms,"NA in: K_fertilizer, P_fertilizer, N_fertilizer",long_term,doi_10.7910_DVN_JPVKRX,Robert Hijmans
all uppercase,names in uppercase: site,long_term,doi_10.7910_DVN_JPVKRX,Robert Hijmans
